shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
171,3575,01-31-2016,02-12-2016,purolator,Returned
172,19911,12-15-2016,12-25-2016,ups,Returned
173,18193,09-20-2016,,purolator,Delivered
174,9344,08-07-2016,,xpo logistics,Delivered
175,12418,12-31-2015,,dhl,Delivered
176,10177,01-05-2016,,ontrac,Delivered
177,20209,01-15-2017,,dhl,Delivered
178,6,01-13-2017,,amazon logistics,Delivered
179,21787,03-21-2017,,ups,Delivered
180,1485,12-30-2016,,spee-dee delivery,Delivered
181,18516,12-18-2016,,usps,Delivered
182,16760,03-23-2016,04-07-2016,ups,Returned
183,6793,10-15-2016,,purolator,Delivered
184,368,01-21-2017,,lasership,Delivered
185,15116,05-22-2017,,ups,Delivered
186,13875,05-21-2017,,fedex,Delivered
187,6254,12-10-2016,,usps,Delivered
188,6059,04-02-2016,,dhl,Delivered
189,9325,08-12-2016,08-21-2016,fedex,Returned
190,9255,08-15-2016,,ups,Delivered
191,703,04-06-2017,,fedex,Delivered
192,2890,04-14-2017,04-29-2017,spee-dee delivery,Returned
193,3977,02-05-2017,,amazon logistics,Delivered
194,8781,01-03-2017,,lasership,Delivered
195,9520,01-10-2016,,ontrac,Delivered
196,14858,12-12-2016,,lasership,Delivered
197,18937,02-09-2017,,amazon logistics,Delivered
198,18182,09-23-2016,,dhl,Delivered
199,24024,02-02-2017,02-16-2017,xpo logistics,Returned
200,1794,12-17-2016,,xpo logistics,Delivered
201,2446,01-10-2017,01-25-2017,ups,Returned
203,21431,02-25-2017,03-05-2017,ontrac,Returned
204,2512,01-08-2017,,ontrac,Delivered
205,8791,10-08-2016,,spee-dee delivery,Delivered
206,23958,12-29-2015,,dhl,Delivered
207,18393,11-19-2016,,usps,Delivered
208,2389,01-09-2017,,lasership,Delivered
209,17098,08-01-2016,,purolator,Delivered
210,10957,07-15-2016,07-27-2016,amazon logistics,Returned
211,14034,04-01-2015,,usps,Delivered
212,21938,05-03-2017,05-17-2017,ups,Returned
213,18560,12-30-2016,,lasership,Delivered
214,21399,08-18-2017,08-29-2017,ups,Returned
215,21176,08-06-2017,,ups,Delivered
216,5463,05-25-2016,,dhl,Delivered
217,5102,01-25-2017,02-05-2017,purolator,Returned
219,2909,10-08-2016,,lasership,Delivered
221,18037,07-24-2017,08-02-2017,spee-dee delivery,Returned
222,18948,06-27-2016,07-08-2016,ups,Returned
223,3448,02-05-2017,,fedex,Delivered
224,11890,02-26-2016,,fedex,Delivered
225,13648,12-06-2015,,ups,Delivered
226,2940,12-25-2016,,purolator,Delivered
227,10085,01-07-2016,,ontrac,Delivered
228,21918,04-17-2017,04-27-2017,fedex,Returned
229,21362,08-20-2017,,amazon logistics,Delivered
230,16406,01-17-2016,,ontrac,Delivered
231,23881,11-30-2015,,fedex,Delivered
232,12379,12-29-2015,,dhl,Delivered
233,9016,09-13-2016,,usps,Delivered
234,2885,05-09-2017,,dhl,Delivered
235,3284,09-28-2016,,xpo logistics,Delivered
236,1496,12-28-2016,,usps,Delivered
237,15966,08-31-2015,,lasership,Delivered
238,5210,11-21-2015,,purolator,Delivered
239,15224,04-26-2017,,purolator,Delivered
240,3819,01-19-2017,02-03-2017,ups,Returned
241,2736,05-17-2017,,dhl,Delivered
242,3310,10-11-2016,10-22-2016,xpo logistics,Returned
243,22035,05-15-2017,,purolator,Delivered
244,7665,03-21-2017,,ups,Delivered
245,6305,12-06-2016,12-16-2016,ontrac,Returned
246,2113,01-22-2017,,ontrac,Delivered
247,5602,05-16-2016,,lasership,Delivered
248,16045,10-01-2015,10-15-2015,dhl,Returned
249,8317,01-11-2017,,dhl,Delivered
250,11071,06-29-2016,,spee-dee delivery,Delivered
251,17496,03-17-2017,,ups,Delivered
252,9461,07-30-2016,,xpo logistics,Delivered
253,19739,08-23-2016,,spee-dee delivery,Delivered
254,22104,05-21-2017,05-30-2017,fedex,Returned
255,15336,03-29-2017,04-13-2017,dhl,Returned
256,6359,11-28-2016,,spee-dee delivery,Delivered
257,19796,09-04-2016,,ontrac,Delivered
258,5878,04-20-2016,,usps,Delivered
259,7045,12-26-2016,,amazon logistics,Delivered
260,8772,01-01-2017,01-13-2017,xpo logistics,Returned
261,4211,02-19-2016,02-29-2016,dhl,Returned
262,14325,03-08-2017,,amazon logistics,Delivered
263,20910,07-07-2017,,purolator,Delivered
264,9901,01-07-2016,,ontrac,Delivered
265,14304,12-27-2016,,xpo logistics,Delivered
266,18261,10-24-2016,,spee-dee delivery,Delivered
267,18904,02-02-2017,02-15-2017,amazon logistics,Returned
268,9956,01-07-2016,01-20-2016,ontrac,Returned
269,12359,12-29-2015,,lasership,Delivered
270,8264,01-15-2017,,amazon logistics,Delivered
271,12244,12-31-2015,,ontrac,Delivered
272,12238,01-01-2016,,ups,Delivered
273,15809,09-16-2017,,lasership,Delivered
274,22066,05-19-2017,,usps,Delivered
275,6754,10-22-2016,,ontrac,Delivered
276,21942,05-02-2017,,fedex,Delivered
277,22680,10-31-2016,,amazon logistics,Delivered
278,2795,05-04-2017,05-16-2017,dhl,Returned
279,13635,12-07-2015,,xpo logistics,Delivered
280,19577,07-24-2016,08-03-2016,xpo logistics,Returned
281,19592,07-23-2016,,xpo logistics,Delivered
282,9849,01-09-2016,01-17-2016,ontrac,Returned
283,1186,02-08-2017,,amazon logistics,Delivered
284,10660,01-10-2016,,ontrac,Delivered
286,14105,05-11-2017,,xpo logistics,Delivered
287,19439,07-05-2016,,fedex,Delivered
288,21500,02-26-2017,,fedex,Delivered
289,18433,12-10-2016,,usps,Delivered
290,22608,10-24-2016,,ontrac,Delivered
291,6037,04-04-2016,,usps,Delivered
292,16111,10-25-2015,,ontrac,Delivered
293,21721,03-18-2017,,amazon logistics,Delivered
294,6684,10-21-2016,,lasership,Delivered
295,4045,12-29-2015,,usps,Delivered
296,17800,05-25-2017,,fedex,Delivered
297,6941,12-28-2016,,fedex,Delivered
298,21133,07-30-2017,,amazon logistics,Delivered
299,7862,03-12-2017,,usps,Delivered
300,10965,07-13-2016,,dhl,Delivered
301,10334,01-23-2016,,purolator,Delivered
302,9087,09-10-2016,09-23-2016,lasership,Returned
303,3354,12-17-2016,,purolator,Delivered
304,1022,02-17-2017,,dhl,Delivered
305,21108,07-25-2017,,amazon logistics,Delivered
306,10021,01-09-2016,,purolator,Delivered
308,4444,01-21-2016,,dhl,Delivered
309,14389,09-07-2016,,ontrac,Delivered
310,1331,01-01-2017,,dhl,Delivered
311,3490,01-10-2016,,fedex,Delivered
312,12518,12-31-2015,01-10-2016,spee-dee delivery,Returned
313,17913,06-23-2017,,spee-dee delivery,Delivered
314,12412,12-30-2015,01-12-2016,fedex,Returned
315,19241,06-15-2016,,lasership,Delivered
316,21542,03-04-2017,,xpo logistics,Delivered
317,23095,01-13-2016,,purolator,Delivered
318,13399,12-23-2015,,lasership,Delivered
319,5912,04-15-2016,04-29-2016,fedex,Returned
320,8004,02-10-2017,,lasership,Delivered
321,13166,12-31-2015,,lasership,Delivered
322,11129,06-25-2016,,xpo logistics,Delivered
323,22886,11-19-2016,,ontrac,Delivered
324,2211,01-19-2017,,ontrac,Delivered
325,4135,01-04-2016,01-12-2016,dhl,Returned
326,21201,08-09-2017,,purolator,Delivered
327,9628,01-10-2016,01-23-2016,spee-dee delivery,Returned
328,2522,01-11-2017,,xpo logistics,Delivered
329,290,11-30-2016,,fedex,Delivered
330,13034,01-19-2017,,dhl,Delivered
331,2602,06-04-2017,06-17-2017,lasership,Returned
332,3133,06-08-2016,06-19-2016,amazon logistics,Returned
333,9668,01-09-2016,,ups,Delivered
334,14776,12-23-2016,,fedex,Delivered
335,23518,04-03-2016,,xpo logistics,Delivered
336,3346,12-16-2016,12-25-2016,xpo logistics,Returned
337,6495,11-19-2016,,lasership,Delivered
338,16585,02-22-2016,,spee-dee delivery,Delivered
339,1873,12-04-2016,12-13-2016,purolator,Returned
340,11345,06-08-2016,,usps,Delivered
341,17366,09-04-2016,,usps,Delivered
342,1608,12-24-2016,,lasership,Delivered
343,21744,03-20-2017,,usps,Delivered
344,9687,01-10-2016,,dhl,Delivered
345,21607,03-07-2017,,amazon logistics,Delivered
346,4847,01-24-2017,,usps,Delivered
347,10877,07-20-2016,,usps,Delivered
348,8039,02-05-2017,,ontrac,Delivered
349,9013,09-12-2016,09-22-2016,xpo logistics,Returned
350,14086,03-29-2017,,purolator,Delivered
351,14502,01-21-2017,,xpo logistics,Delivered
352,395,12-14-2016,,amazon logistics,Delivered
353,23384,03-17-2016,,spee-dee delivery,Delivered
354,21117,07-29-2017,08-12-2017,fedex,Returned
355,15992,09-14-2015,09-29-2015,dhl,Returned
356,21004,07-20-2017,07-29-2017,amazon logistics,Returned
357,20217,01-08-2017,,purolator,Delivered
358,6528,11-15-2016,,purolator,Delivered
359,15299,04-08-2017,,ontrac,Delivered
360,20847,06-26-2017,,lasership,Delivered
361,8460,01-07-2017,01-18-2017,xpo logistics,Returned
362,11898,02-23-2016,,ups,Delivered
363,19071,05-21-2016,,ups,Delivered
364,1432,01-03-2017,,dhl,Delivered
365,10776,07-24-2016,,fedex,Delivered
366,18424,11-22-2016,,usps,Delivered
367,11466,03-27-2016,,purolator,Delivered
368,824,03-17-2017,,xpo logistics,Delivered
369,13279,01-01-2016,,xpo logistics,Delivered
370,16707,03-14-2016,,usps,Delivered
371,23745,04-25-2016,,dhl,Delivered
372,10817,07-23-2016,08-07-2016,dhl,Returned
373,17755,05-18-2017,05-31-2017,purolator,Returned
374,7972,02-16-2017,,ups,Delivered
376,7040,12-27-2016,01-09-2017,purolator,Returned
377,12092,01-08-2016,,ups,Delivered
379,8421,01-10-2017,01-21-2017,usps,Returned
380,4500,01-23-2016,,usps,Delivered
381,4429,01-17-2016,01-27-2016,purolator,Returned
382,20649,06-03-2017,,amazon logistics,Delivered
383,8786,10-07-2016,,ups,Delivered
384,14524,01-21-2017,,ups,Delivered
385,3593,01-07-2017,,usps,Delivered
386,2438,01-11-2017,,ups,Delivered
387,7294,12-20-2016,,lasership,Delivered
388,5244,11-17-2015,,xpo logistics,Delivered
389,17555,03-18-2017,03-28-2017,purolator,Returned
390,6398,11-23-2016,12-05-2016,dhl,Returned
391,14585,01-12-2017,,usps,Delivered
392,6764,10-19-2016,11-03-2016,amazon logistics,Returned
393,6725,10-20-2016,,xpo logistics,Delivered
394,1882,12-03-2016,,spee-dee delivery,Delivered
395,4790,11-21-2015,,purolator,Delivered
396,6457,11-18-2016,11-26-2016,ontrac,Returned
397,20833,06-26-2017,,usps,Delivered
398,9951,01-08-2016,,purolator,Delivered
399,21387,08-22-2017,,lasership,Delivered
400,16416,01-08-2016,01-20-2016,ontrac,Returned
401,23294,02-23-2016,03-03-2016,usps,Returned
402,14089,03-28-2017,,lasership,Delivered
403,1897,12-03-2016,,ups,Delivered
404,4618,03-17-2017,04-01-2017,ontrac,Returned
405,16025,09-21-2015,09-30-2015,ups,Returned
406,20787,06-26-2017,,amazon logistics,Delivered
407,9036,09-11-2016,,lasership,Delivered
408,2560,01-06-2017,,ups,Delivered
409,477,11-26-2016,12-06-2016,ontrac,Returned
410,13808,05-27-2017,,usps,Delivered
411,15584,02-05-2017,,dhl,Delivered
412,1089,02-14-2017,,lasership,Delivered
413,8274,01-15-2017,,fedex,Delivered
414,13738,11-28-2015,,spee-dee delivery,Delivered
415,2386,01-09-2017,,purolator,Delivered
416,2984,01-25-2017,,ups,Delivered
417,20361,01-25-2017,,spee-dee delivery,Delivered
418,16131,10-22-2015,,dhl,Delivered
419,6132,12-15-2016,12-28-2016,ups,Returned
420,953,03-04-2017,,spee-dee delivery,Delivered
421,21244,08-14-2017,,purolator,Delivered
422,7130,12-27-2016,,spee-dee delivery,Delivered
423,3767,12-30-2015,01-13-2016,usps,Returned
424,16412,01-09-2016,,ups,Delivered
425,7465,05-01-2017,,dhl,Delivered
426,14480,01-19-2017,01-31-2017,ups,Returned
427,22331,09-17-2016,10-01-2016,amazon logistics,Returned
428,1805,12-11-2016,,ontrac,Delivered
429,16185,01-02-2016,,lasership,Delivered
430,7556,04-12-2017,,purolator,Delivered
431,17511,03-08-2017,,xpo logistics,Delivered
432,17063,06-29-2016,,ups,Delivered
433,17894,07-01-2017,,usps,Delivered
434,2573,06-04-2017,,usps,Delivered
435,18828,01-26-2017,02-08-2017,spee-dee delivery,Returned
436,20062,12-26-2016,01-08-2017,lasership,Returned
437,10242,01-28-2016,,lasership,Delivered
438,2195,01-21-2017,,spee-dee delivery,Delivered
439,20899,07-05-2017,,ups,Delivered
440,9704,01-10-2016,,lasership,Delivered
441,12068,01-08-2016,,ontrac,Delivered
442,6699,10-21-2016,,dhl,Delivered
443,11361,06-05-2016,,purolator,Delivered
444,1479,12-30-2016,,ups,Delivered
445,6250,12-09-2016,,ontrac,Delivered
446,2270,01-18-2017,,xpo logistics,Delivered
447,18498,12-19-2016,,fedex,Delivered
448,6948,12-27-2016,,dhl,Delivered
449,12834,01-24-2017,,fedex,Delivered
450,47,02-06-2017,,lasership,Delivered
451,9384,08-05-2016,,spee-dee delivery,Delivered
452,23502,03-29-2016,,purolator,Delivered
453,969,03-04-2017,,dhl,Delivered
454,17964,07-03-2017,,fedex,Delivered
455,10603,01-12-2016,01-27-2016,spee-dee delivery,Returned
456,12330,12-31-2015,,fedex,Delivered
457,17972,07-21-2017,,amazon logistics,Delivered
458,23943,12-20-2015,,usps,Delivered
459,16518,02-13-2016,,amazon logistics,Delivered
460,18945,02-08-2017,02-19-2017,purolator,Returned
461,13472,12-17-2015,,usps,Delivered
462,11419,06-07-2016,,fedex,Delivered
463,18359,11-17-2016,12-01-2016,ups,Returned
464,18145,08-28-2017,,xpo logistics,Delivered
465,20937,07-18-2017,,ontrac,Delivered
466,20521,02-05-2017,,amazon logistics,Delivered
467,10130,01-06-2016,,purolator,Delivered
468,23718,04-30-2016,,ontrac,Delivered
469,18383,11-27-2016,,fedex,Delivered
470,16720,03-05-2016,,spee-dee delivery,Delivered
472,12662,02-01-2017,,usps,Delivered
473,8594,01-07-2017,,spee-dee delivery,Delivered
474,13097,01-19-2017,,amazon logistics,Delivered
475,21159,08-02-2017,08-11-2017,ups,Returned
476,7410,12-15-2016,,amazon logistics,Delivered
477,5306,11-06-2015,,purolator,Delivered
478,16487,01-24-2016,,lasership,Delivered
479,23123,01-18-2016,,spee-dee delivery,Delivered
480,3963,02-03-2017,,amazon logistics,Delivered
481,6935,12-29-2016,01-07-2017,purolator,Returned
482,18131,08-22-2017,,lasership,Delivered
483,16845,04-12-2016,,xpo logistics,Delivered
484,2882,05-13-2017,,ups,Delivered
485,6942,12-30-2016,,purolator,Delivered
486,16174,11-15-2015,11-29-2015,fedex,Returned
487,18114,08-26-2017,09-08-2017,dhl,Returned
488,2811,04-30-2017,,lasership,Delivered
489,23629,04-17-2016,,purolator,Delivered
490,16517,02-15-2016,02-28-2016,spee-dee delivery,Returned
491,5980,04-09-2016,,spee-dee delivery,Delivered
492,710,04-02-2017,04-15-2017,lasership,Returned
493,4872,04-24-2016,,usps,Delivered
494,9080,09-09-2016,,usps,Delivered
495,1758,12-15-2016,12-27-2016,usps,Returned
496,16611,03-07-2016,,ontrac,Delivered
497,4060,12-30-2015,,ontrac,Delivered
498,23306,02-28-2016,03-14-2016,usps,Returned
499,8283,01-13-2017,,usps,Delivered
500,7152,12-24-2016,01-04-2017,purolator,Returned
501,18227,09-27-2016,,purolator,Delivered
502,21332,08-19-2017,,usps,Delivered
503,1423,01-03-2017,,xpo logistics,Delivered
504,12910,01-26-2017,,amazon logistics,Delivered
505,10850,07-20-2016,07-31-2016,lasership,Returned
506,11664,03-14-2016,,fedex,Delivered
507,21330,08-22-2017,,ontrac,Delivered
508,17975,07-24-2017,,lasership,Delivered
509,12324,01-03-2016,,spee-dee delivery,Delivered
510,11860,03-03-2016,03-17-2016,ontrac,Returned
511,7331,12-19-2016,,dhl,Delivered
512,1973,01-25-2017,,amazon logistics,Delivered
513,10180,02-01-2016,02-11-2016,ups,Returned
514,3749,12-15-2015,,ups,Delivered
515,17046,06-20-2016,,dhl,Delivered
516,21934,04-29-2017,,usps,Delivered
517,19431,07-02-2016,07-11-2016,dhl,Returned
518,21716,03-19-2017,,ups,Delivered
519,22939,11-30-2016,,fedex,Delivered
521,15127,05-19-2017,,xpo logistics,Delivered
522,6430,11-20-2016,,lasership,Delivered
523,20455,02-02-2017,,usps,Delivered
524,23253,02-21-2016,,spee-dee delivery,Delivered
525,20078,01-03-2017,,spee-dee delivery,Delivered
526,12710,01-28-2017,,fedex,Delivered
527,9417,08-09-2016,,ontrac,Delivered
528,13583,12-07-2015,,ups,Delivered
529,22330,09-16-2016,09-29-2016,ups,Returned
530,9964,01-09-2016,01-18-2016,ups,Returned
531,21600,03-06-2017,,usps,Delivered
532,6346,12-01-2016,,fedex,Delivered
533,19361,06-24-2016,07-09-2016,lasership,Returned
534,3768,12-29-2015,,usps,Delivered
535,14031,05-16-2016,,lasership,Delivered
536,20481,01-31-2017,02-11-2017,fedex,Returned
537,14229,10-19-2016,10-29-2016,fedex,Returned
538,9535,01-09-2016,,ontrac,Delivered
539,271,04-04-2017,04-17-2017,fedex,Returned
540,14439,01-19-2017,01-28-2017,ups,Returned
541,23774,05-07-2016,,lasership,Delivered
542,11387,06-04-2016,,xpo logistics,Delivered
543,2085,01-25-2017,,dhl,Delivered
544,12220,12-31-2015,,lasership,Delivered
545,6161,12-13-2016,,purolator,Delivered
546,8083,02-05-2017,02-14-2017,purolator,Returned
547,10967,07-16-2016,,spee-dee delivery,Delivered
548,21916,04-24-2017,,usps,Delivered
549,15372,03-19-2017,,ups,Delivered
550,3048,05-18-2017,,lasership,Delivered
551,14274,01-01-2017,01-11-2017,fedex,Returned
552,10049,01-10-2016,,spee-dee delivery,Delivered
553,18773,01-22-2017,,ups,Delivered
554,5527,05-22-2016,,xpo logistics,Delivered
555,2860,05-01-2016,,usps,Delivered
556,15493,02-20-2017,,usps,Delivered
557,23625,04-20-2016,,lasership,Delivered
558,6485,11-20-2016,,purolator,Delivered
559,23719,05-07-2016,05-15-2016,purolator,Returned
560,14026,06-20-2017,,lasership,Delivered
561,8456,01-09-2017,,usps,Delivered
562,2384,01-13-2017,01-24-2017,xpo logistics,Returned
563,17829,05-28-2017,,purolator,Delivered
564,11602,03-21-2016,03-30-2016,spee-dee delivery,Returned
565,5552,05-23-2016,,lasership,Delivered
566,1653,12-25-2016,,dhl,Delivered
567,7891,03-07-2017,03-21-2017,dhl,Returned
568,2607,06-05-2017,06-13-2017,purolator,Returned
569,3382,03-18-2017,,fedex,Delivered
570,13243,12-30-2015,01-07-2016,xpo logistics,Returned
571,632,04-16-2017,,usps,Delivered
573,21698,03-21-2017,,purolator,Delivered
574,10154,01-06-2016,,dhl,Delivered
575,2525,01-09-2017,,ontrac,Delivered
576,20533,02-06-2017,,dhl,Delivered
577,13252,12-30-2015,,ups,Delivered
578,20965,07-20-2017,,ontrac,Delivered
579,7028,12-25-2016,01-08-2017,ups,Returned
580,2355,01-16-2017,01-25-2017,xpo logistics,Returned
581,17528,04-09-2017,,ups,Delivered
582,22775,11-13-2016,,lasership,Delivered
583,5029,12-15-2016,,xpo logistics,Delivered
584,18519,12-15-2016,,purolator,Delivered
585,18586,01-01-2017,01-09-2017,fedex,Returned
586,10815,07-23-2016,08-03-2016,lasership,Returned
587,3862,01-20-2017,,purolator,Delivered
588,16133,10-22-2015,,amazon logistics,Delivered
589,19155,06-05-2016,,amazon logistics,Delivered
590,9639,01-12-2016,,xpo logistics,Delivered
591,1305,01-01-2017,,usps,Delivered
592,15649,01-26-2017,,ontrac,Delivered
593,7789,03-16-2017,,spee-dee delivery,Delivered
